epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,300.244,1.20272,0.74484,1.10816,0.65141,0.72281,0.62349,0.20505,2.46398,1.32856,2.10557,0.00157232,0.00157232,0.00157232
110,302.424,1.16909,0.79773,1.10321,0.62249,0.71698,0.64872,0.20408,2.47201,1.3374,2.05383,0.00156836,0.00156836,0.00156836
111,304.737,1.18266,0.76208,1.11873,0.65835,0.59994,0.55488,0.17516,2.51798,1.42753,2.06721,0.0015644,0.0015644,0.0015644
112,307.27,1.1866,0.80353,1.1077,0.66209,0.5566,0.5599,0.16807,2.52177,1.52446,2.10256,0.00156044,0.00156044,0.00156044
113,309.621,1.16885,0.77091,1.12703,0.66209,0.5566,0.5599,0.16807,2.52177,1.52446,2.10256,0.00155648,0.00155648,0.00155648
114,312.397,1.14409,0.79123,1.12317,0.62136,0.54717,0.50039,0.1571,2.53985,1.57971,2.15179,0.00155252,0.00155252,0.00155252
115,315.401,1.15189,0.76037,1.0908,0.60418,0.58491,0.51569,0.15966,2.57533,1.54177,2.17375,0.00154856,0.00154856,0.00154856
116,318.397,1.20645,0.79491,1.13086,0.58071,0.53774,0.46171,0.14743,2.55987,1.64768,2.23809,0.0015446,0.0015446,0.0015446
117,321.368,1.14657,0.7716,1.11116,0.58071,0.53774,0.46171,0.14743,2.55987,1.64768,2.23809,0.00154064,0.00154064,0.00154064
118,324.922,1.11973,0.7493,1.1072,0.50423,0.5566,0.45313,0.15221,2.58096,1.61859,2.34219,0.00153668,0.00153668,0.00153668
119,328.361,1.14831,0.78331,1.10068,0.57255,0.64151,0.51068,0.15939,2.61259,1.63314,2.33772,0.00153272,0.00153272,0.00153272
120,332.281,1.17647,0.78108,1.11259,0.5777,0.50943,0.46397,0.15009,2.55936,1.77059,2.28519,0.00152876,0.00152876,0.00152876
121,336.059,1.14331,0.75254,1.09883,0.5777,0.50943,0.46397,0.15009,2.55936,1.77059,2.28519,0.0015248,0.0015248,0.0015248
122,338.948,1.10043,0.74933,1.06902,0.58388,0.53774,0.48521,0.14716,2.55586,1.69679,2.2839,0.00152084,0.00152084,0.00152084
123,341.625,1.10816,0.75751,1.10931,0.62233,0.67925,0.57531,0.18081,2.53497,1.4518,2.2826,0.00151688,0.00151688,0.00151688
124,344.114,1.14087,0.76331,1.12338,0.6567,0.66981,0.57504,0.18635,2.55866,1.3832,2.31876,0.00151292,0.00151292,0.00151292
125,346.578,1.09408,0.72218,1.06216,0.6567,0.66981,0.57504,0.18635,2.55866,1.3832,2.31876,0.00150896,0.00150896,0.00150896
126,349.449,1.09421,0.71693,1.07123,0.65122,0.62264,0.5893,0.16515,2.56037,1.38183,2.28888,0.001505,0.001505,0.001505
127,351.987,1.11669,0.74594,1.09621,0.63792,0.62264,0.54981,0.16202,2.55447,1.39752,2.29422,0.00150104,0.00150104,0.00150104
128,354.315,1.10754,0.73651,1.08148,0.65115,0.61321,0.60143,0.17824,2.56367,1.5054,2.34992,0.00149708,0.00149708,0.00149708
129,356.659,1.10639,0.73462,1.09022,0.65115,0.61321,0.60143,0.17824,2.56367,1.5054,2.34992,0.00149312,0.00149312,0.00149312
130,359.012,1.11711,0.737,1.08478,0.61198,0.6547,0.61434,0.17955,2.59294,1.45473,2.37425,0.00148916,0.00148916,0.00148916
131,361.454,1.07134,0.69794,1.0666,0.61488,0.67925,0.64238,0.19023,2.56082,1.29635,2.30168,0.0014852,0.0014852,0.0014852
132,363.942,1.05271,0.70028,1.03444,0.6344,0.70393,0.6026,0.18857,2.55892,1.3375,2.27408,0.00148124,0.00148124,0.00148124
133,366.371,1.01352,0.68117,1.03112,0.6344,0.70393,0.6026,0.18857,2.55892,1.3375,2.27408,0.00147728,0.00147728,0.00147728
134,369.195,1.10221,0.73314,1.07042,0.63976,0.70755,0.62523,0.19044,2.56457,1.33881,2.27269,0.00147332,0.00147332,0.00147332
135,371.904,1.04696,0.67531,1.05703,0.65176,0.64151,0.60983,0.1838,2.58986,1.34732,2.30597,0.00146936,0.00146936,0.00146936
136,374.244,1.11395,0.72798,1.09857,0.68241,0.61321,0.62666,0.18086,2.56342,1.33084,2.27917,0.0014654,0.0014654,0.0014654
137,376.508,1.08166,0.71016,1.07929,0.68241,0.61321,0.62666,0.18086,2.56342,1.33084,2.27917,0.00146144,0.00146144,0.00146144
138,378.917,1.05636,0.703,1.05087,0.65337,0.65797,0.63833,0.19623,2.49678,1.42962,2.19347,0.00145748,0.00145748,0.00145748
139,381.298,1.06752,0.75464,1.06099,0.6561,0.64151,0.64123,0.19267,2.54407,1.39005,2.21149,0.00145352,0.00145352,0.00145352
140,383.818,1.03162,0.71561,1.05465,0.64687,0.68868,0.66414,0.18698,2.56437,1.2879,2.22075,0.00144956,0.00144956,0.00144956
141,386.054,1.08891,0.73036,1.09105,0.64687,0.68868,0.66414,0.18698,2.56437,1.2879,2.22075,0.0014456,0.0014456,0.0014456
142,388.554,1.01557,0.69014,1.03181,0.6367,0.71698,0.66295,0.19167,2.54037,1.26788,2.21839,0.00144164,0.00144164,0.00144164
143,392.047,1.01104,0.68344,1.0476,0.59758,0.68645,0.59085,0.1922,2.57437,1.30241,2.31202,0.00143768,0.00143768,0.00143768
144,395.142,0.9586,0.64547,1.01516,0.54438,0.66981,0.53465,0.18797,2.57942,1.3151,2.33733,0.00143372,0.00143372,0.00143372
145,397.829,1.01194,0.6734,1.03523,0.54438,0.66981,0.53465,0.18797,2.57942,1.3151,2.33733,0.00142976,0.00142976,0.00142976
146,400.352,0.98777,0.69383,1.03206,0.63192,0.68868,0.60366,0.20199,2.55623,1.28174,2.30576,0.0014258,0.0014258,0.0014258
147,402.753,0.97621,0.65689,1.02297,0.71274,0.66981,0.6549,0.20092,2.5355,1.25984,2.30343,0.00142184,0.00142184,0.00142184
148,405.273,0.98071,0.6566,1.01233,0.63751,0.62264,0.58641,0.18248,2.56358,1.42418,2.38087,0.00141788,0.00141788,0.00141788
149,407.506,1.0678,0.69018,1.07853,0.63751,0.62264,0.58641,0.18248,2.56358,1.42418,2.38087,0.00141392,0.00141392,0.00141392
150,409.852,1.03713,0.64954,1.03493,0.57061,0.66981,0.60616,0.18641,2.58189,1.4698,2.39968,0.00140996,0.00140996,0.00140996
