epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,180.163,1.04335,0.28773,0.26414,0.61824,1.07721,0.90984,0.94737,0.94299,0.61184,0.93512,0.97368,0.96216,0.94168,1.28963,0.22579,0.11565,0.64922,1.26138,0.0017624,0.0017624,0.0017624
50,183.201,1.05103,0.32749,0.30759,0.62777,1.11326,0.91507,0.94737,0.95075,0.61494,0.94878,1,0.96674,0.95478,1.23171,0.20383,0.11113,0.64571,1.23122,0.00175745,0.00175745,0.00175745
51,186.16,1.05899,0.32747,0.29045,0.64699,1.09803,0.91391,0.94737,0.95232,0.6551,0.94807,1,0.98031,0.96774,1.20623,0.20201,0.10417,0.64452,1.25752,0.0017525,0.0017525,0.0017525
52,189.095,1.03871,0.26414,0.29461,0.61869,1.09682,0.899,0.94737,0.95525,0.63765,0.9469,1,0.984,0.9677,1.22956,0.2119,0.1073,0.64435,1.28319,0.00174755,0.00174755,0.00174755
53,192.202,1.02956,0.30752,0.26712,0.59911,1.08454,0.90493,0.94737,0.93715,0.6087,0.94682,1,0.98295,0.96268,1.26069,0.21505,0.11029,0.64097,1.29037,0.0017426,0.0017426,0.0017426
54,195.24,1.00786,0.3153,0.29571,0.60679,1.0967,0.90493,0.94737,0.93715,0.6087,0.94682,1,0.98295,0.96268,1.26069,0.21505,0.11029,0.64097,1.29037,0.00173765,0.00173765,0.00173765
55,198.196,1.06777,0.32004,0.30582,0.63655,1.13462,0.89392,0.92105,0.9088,0.60459,0.94697,1,0.973,0.94994,1.25791,0.20485,0.1082,0.62342,1.27843,0.0017327,0.0017327,0.0017327
56,201.095,0.99605,0.29151,0.2639,0.59346,1.07245,0.95195,0.94737,0.94738,0.62351,0.94577,1,0.98331,0.9605,1.21486,0.21742,0.09902,0.58234,1.24456,0.00172775,0.00172775,0.00172775
57,204.21,1.08117,0.3465,0.29184,0.619,1.10139,0.9381,0.94737,0.93653,0.61272,0.94691,1,0.98034,0.96123,1.24156,0.22362,0.09485,0.5927,1.26986,0.0017228,0.0017228,0.0017228
58,207.124,1.01507,0.29423,0.27423,0.58263,1.08404,0.89945,0.92105,0.92423,0.61345,0.94822,1,0.98505,0.9677,1.18541,0.20358,0.09217,0.56997,1.22642,0.00171785,0.00171785,0.00171785
59,209.927,1.07174,0.30349,0.27444,0.62327,1.08529,0.95255,0.97368,0.97967,0.64917,0.94995,0.999,0.98347,0.96118,1.14274,0.19243,0.09104,0.61877,1.21187,0.0017129,0.0017129,0.0017129
60,213.042,1.04306,0.29746,0.28099,0.63047,1.13676,0.91147,0.94737,0.95595,0.59969,0.93679,0.97368,0.98506,0.96674,1.26325,0.2005,0.0911,0.68273,1.26406,0.00170795,0.00170795,0.00170795
61,215.949,0.99902,0.30368,0.26023,0.62869,1.09406,0.90159,0.94737,0.95369,0.60992,0.92664,0.97368,0.98814,0.96931,1.31839,0.18068,0.08926,0.64759,1.29187,0.001703,0.001703,0.001703
62,218.707,1.0278,0.28622,0.26861,0.60903,1.06663,0.90159,0.94737,0.95369,0.60992,0.92664,0.97368,0.98814,0.96931,1.31839,0.18068,0.08926,0.64759,1.29187,0.00169805,0.00169805,0.00169805
63,221.689,1.05372,0.25274,0.25297,0.60615,1.0855,0.96818,0.97368,0.97347,0.6071,0.96818,0.97368,0.98767,0.97522,1.33331,0.18307,0.08907,0.61012,1.32667,0.0016931,0.0016931,0.0016931
64,224.591,1.034,0.26638,0.27307,0.60928,1.10172,0.96963,0.97368,0.98086,0.66984,0.96963,0.97368,0.989,0.97424,1.12787,0.17437,0.08805,0.56861,1.2016,0.00168815,0.00168815,0.00168815
65,227.477,1.04311,0.25376,0.24296,0.59318,1.08994,0.97005,0.97368,0.98854,0.64474,0.97005,0.97368,0.98854,0.97365,1.1894,0.17716,0.09181,0.59435,1.22549,0.0016832,0.0016832,0.0016832
66,230.605,1.05027,0.27653,0.28709,0.63389,1.12543,0.96834,0.97368,0.98888,0.63091,0.96834,0.97368,0.98888,0.97257,1.16424,0.18281,0.09405,0.56988,1.23753,0.00167825,0.00167825,0.00167825
67,233.657,0.97671,0.24285,0.25409,0.61023,1.06235,0.96465,0.97368,0.97772,0.6527,0.96465,0.97368,0.98215,0.95849,1.16068,0.18002,0.09496,0.56783,1.23293,0.0016733,0.0016733,0.0016733
68,236.546,1.01887,0.29638,0.24155,0.59824,1.06607,0.94821,0.97368,0.97885,0.66594,0.94986,0.99707,0.98295,0.96742,1.13158,0.1821,0.09409,0.58022,1.20606,0.00166835,0.00166835,0.00166835
69,239.532,0.98482,0.29914,0.27885,0.60822,1.09403,0.94998,0.99966,0.98183,0.66869,0.94998,0.99966,0.98183,0.97008,1.08153,0.1529,0.093,0.59495,1.19145,0.0016634,0.0016634,0.0016634
70,242.41,1.00995,0.25621,0.21028,0.58699,1.0427,0.94998,0.99966,0.98183,0.66869,0.94998,0.99966,0.98183,0.97008,1.08153,0.1529,0.093,0.59495,1.19145,0.00165845,0.00165845,0.00165845
71,245.229,1.00827,0.26143,0.27771,0.58752,1.05348,0.94999,0.99989,0.98764,0.67085,0.94999,0.99989,0.98764,0.9836,1.14543,0.16289,0.09001,0.54561,1.20305,0.0016535,0.0016535,0.0016535
72,248.263,1.02405,0.29504,0.27508,0.62246,1.08292,0.9232,1,0.98767,0.66234,0.9232,1,0.98767,0.98579,1.18397,0.16773,0.08748,0.55896,1.21239,0.00164855,0.00164855,0.00164855
73,251.148,1.01248,0.26727,0.27831,0.60644,1.07337,0.94576,0.94737,0.96769,0.64739,0.9485,0.96953,0.98664,0.98664,1.14967,0.16503,0.08639,0.56641,1.2043,0.0016436,0.0016436,0.0016436
74,253.985,0.96742,0.27659,0.23439,0.57427,1.0505,0.93934,0.94737,0.99002,0.66967,0.93934,0.94737,0.99002,0.99002,1.12078,0.15524,0.08713,0.56939,1.19989,0.00163865,0.00163865,0.00163865
75,256.977,0.94907,0.25086,0.22689,0.5696,1.03664,0.97358,0.9699,0.98662,0.62936,0.97358,0.9699,0.98662,0.97895,1.2306,0.16243,0.08744,0.61565,1.26604,0.0016337,0.0016337,0.0016337
76,259.798,0.96422,0.23629,0.24759,0.57948,1.06085,0.96048,0.97368,0.98433,0.65948,0.96048,0.97368,0.98433,0.97215,1.16927,0.14879,0.08488,0.60129,1.20895,0.00162875,0.00162875,0.00162875
77,262.716,0.91624,0.22897,0.25382,0.55809,1.05546,0.95865,0.97368,0.97773,0.67753,0.95865,0.97368,0.98715,0.97821,1.13147,0.15465,0.08301,0.55999,1.20146,0.0016238,0.0016238,0.0016238
78,265.675,0.9368,0.20774,0.2387,0.57823,1.05321,0.95865,0.97368,0.97773,0.67753,0.95865,0.97368,0.98715,0.97821,1.13147,0.15465,0.08301,0.55999,1.20146,0.00161885,0.00161885,0.00161885
79,268.556,0.91083,0.26415,0.26611,0.56184,1.04449,0.93607,0.97368,0.97865,0.67901,0.93607,0.97368,0.98344,0.95507,1.15909,0.19903,0.08593,0.58276,1.21456,0.0016139,0.0016139,0.0016139
80,271.234,0.90179,0.24497,0.24611,0.5408,1.02018,0.94036,0.97368,0.98343,0.64205,0.94036,0.97368,0.98343,0.95826,1.22758,0.19401,0.08726,0.58799,1.23907,0.00160895,0.00160895,0.00160895
81,273.936,0.90753,0.23747,0.21584,0.54288,1.0113,0.94676,0.97368,0.98048,0.67803,0.94676,0.97368,0.98714,0.96611,1.08927,0.17414,0.08591,0.56107,1.18028,0.001604,0.001604,0.001604
82,276.688,0.9482,0.23028,0.23072,0.56631,1.0558,0.94684,0.97368,0.97819,0.6558,0.94684,0.97368,0.99097,0.97546,1.19201,0.16982,0.08026,0.56903,1.24331,0.00159905,0.00159905,0.00159905
83,279.629,0.89694,0.23693,0.18287,0.53502,1.00983,0.94674,0.97368,0.98854,0.66229,0.94674,0.97368,0.98854,0.97164,1.18255,0.16354,0.08049,0.56281,1.2346,0.0015941,0.0015941,0.0015941
84,282.725,0.91051,0.24705,0.2437,0.54594,1.0429,0.96728,0.97368,0.98557,0.67074,0.96728,0.97368,0.98557,0.96048,1.15843,0.1626,0.08025,0.53097,1.25321,0.00158915,0.00158915,0.00158915
85,285.76,0.89671,0.25301,0.22659,0.56078,1.01891,0.96883,0.97368,0.97027,0.69201,0.96883,0.97368,0.98768,0.96179,1.10852,0.16206,0.08225,0.51231,1.24547,0.0015842,0.0015842,0.0015842
86,288.576,0.92872,0.24532,0.23789,0.55406,1.02822,0.96883,0.97368,0.97027,0.69201,0.96883,0.97368,0.98768,0.96179,1.10852,0.16206,0.08225,0.51231,1.24547,0.00157925,0.00157925,0.00157925
87,291.552,0.91699,0.20751,0.25629,0.53795,1.02974,0.9638,0.97368,0.97106,0.69471,0.9638,0.97368,0.98757,0.96738,1.08354,0.14945,0.08324,0.50758,1.21723,0.0015743,0.0015743,0.0015743
88,294.651,0.93296,0.20744,0.21496,0.54281,1.04548,0.91687,0.97368,0.96898,0.67688,0.91687,0.97368,0.96977,0.95846,1.09655,0.13723,0.08471,0.56247,1.20438,0.00156935,0.00156935,0.00156935
89,297.492,0.88805,0.21045,0.26298,0.55529,1.06497,0.9209,0.97368,0.96044,0.64765,0.9209,0.97368,0.96044,0.95102,1.14958,0.13131,0.08519,0.5761,1.20842,0.0015644,0.0015644,0.0015644
90,300.593,0.87044,0.20808,0.23131,0.54087,1.01875,0.90461,0.99823,0.95835,0.65538,0.90461,0.99823,0.95835,0.95561,1.1628,0.13276,0.08522,0.60064,1.22221,0.00155945,0.00155945,0.00155945
91,303.692,0.90327,0.22039,0.20729,0.54506,1.02866,0.93859,0.97368,0.96883,0.63733,0.93859,0.97368,0.96883,0.95344,1.22549,0.14945,0.08952,0.66647,1.25223,0.0015545,0.0015545,0.0015545
92,306.688,0.97312,0.19223,0.23961,0.59039,1.06161,0.94515,0.97368,0.97006,0.64357,0.94515,0.97368,0.97006,0.95217,1.16136,0.16424,0.08686,0.62984,1.24419,0.00154955,0.00154955,0.00154955
93,309.536,0.87577,0.21276,0.22691,0.54651,1.02627,0.94212,0.97368,0.96782,0.67061,0.94212,0.97368,0.96999,0.95987,1.17586,0.15828,0.08214,0.56531,1.28154,0.0015446,0.0015446,0.0015446
94,312.36,0.99794,0.21202,0.21507,0.56553,1.07523,0.94212,0.97368,0.96782,0.67061,0.94212,0.97368,0.96999,0.95987,1.17586,0.15828,0.08214,0.56531,1.28154,0.00153965,0.00153965,0.00153965
95,315.316,0.91826,0.21362,0.22339,0.54417,1.02265,0.94492,0.97368,0.97883,0.67403,0.94492,0.97368,0.98067,0.97355,1.17986,0.15715,0.08427,0.5707,1.27284,0.0015347,0.0015347,0.0015347
96,318.475,0.91518,0.21088,0.22604,0.52754,1.0285,0.9467,0.97368,0.98215,0.65687,0.9467,0.97368,0.98215,0.97326,1.16606,0.16176,0.08854,0.57992,1.24794,0.00152975,0.00152975,0.00152975
97,321.47,0.89888,0.24381,0.24094,0.543,1.02736,0.95057,0.97368,0.9811,0.66796,0.95057,0.97368,0.9811,0.97709,1.1211,0.1625,0.08744,0.56047,1.23674,0.0015248,0.0015248,0.0015248
98,324.453,0.92968,0.20936,0.25001,0.55553,1.06049,0.94599,0.97368,0.98142,0.64476,0.94599,0.97368,0.98142,0.97762,1.11177,0.15741,0.09339,0.55412,1.25379,0.00151985,0.00151985,0.00151985
99,327.64,0.80768,0.1934,0.21812,0.49627,0.98077,0.92275,0.94737,0.95117,0.62829,0.94839,0.97368,0.98648,0.98648,1.18891,0.14406,0.10078,0.61024,1.27593,0.0015149,0.0015149,0.0015149
100,330.555,0.88025,0.19517,0.20595,0.52508,1.00649,0.97037,0.97368,0.98726,0.67698,0.97037,0.97368,0.99083,0.98728,1.14871,0.13321,0.09716,0.5839,1.23511,0.00150995,0.00150995,0.00150995
101,333.545,0.87799,0.19011,0.25973,0.538,1.04276,0.98284,0.97368,0.97958,0.69685,0.98284,0.97368,0.99152,0.98503,1.0636,0.1336,0.08841,0.54462,1.1948,0.001505,0.001505,0.001505
102,336.211,0.86173,0.21714,0.22425,0.51497,1.01933,0.98284,0.97368,0.97958,0.69685,0.98284,0.97368,0.99152,0.98503,1.0636,0.1336,0.08841,0.54462,1.1948,0.00150005,0.00150005,0.00150005
103,339.206,0.85294,0.17278,0.18542,0.49896,0.98928,0.93405,0.94737,0.96001,0.67368,0.96452,0.97368,0.99057,0.99057,1.13035,0.1311,0.08681,0.54144,1.20691,0.0014951,0.0014951,0.0014951
104,342.039,0.88187,0.19259,0.2138,0.51916,0.99944,0.94573,0.97368,0.98715,0.66012,0.94573,0.97368,0.98715,0.97908,1.18158,0.13144,0.08948,0.55275,1.26514,0.00149015,0.00149015,0.00149015
105,344.926,0.89132,0.18612,0.23664,0.53072,1.01715,0.9492,1,0.98196,0.67262,0.9492,1,0.98196,0.97349,1.18718,0.13371,0.0897,0.55957,1.31027,0.0014852,0.0014852,0.0014852
106,347.992,0.87568,0.18396,0.22074,0.51677,1.02686,0.92416,0.97368,0.9635,0.69337,0.94931,1,0.98466,0.97786,1.13685,0.13862,0.09048,0.54712,1.27939,0.00148025,0.00148025,0.00148025
